	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
50	0.369	https://api.spotify.com/v1/audio-analysis/7pPpktBix6VFxm3D2pNSNK	0.574	261787	0.632	7pPpktBix6VFxm3D2pNSNK	0.00137	5	0.11	-5.822	1	0.0268	96.81	4	https://api.spotify.com/v1/tracks/7pPpktBix6VFxm3D2pNSNK	audio_features	spotify:track:7pPpktBix6VFxm3D2pNSNK	0.493	yes
51	0.381	https://api.spotify.com/v1/audio-analysis/5C1Szw7qVcmwxqiwUxoe2J	0.498	278600	0.617	5C1Szw7qVcmwxqiwUxoe2J	0.00217	1	0.0966	-7.622	1	0.0345	137.998	4	https://api.spotify.com/v1/tracks/5C1Szw7qVcmwxqiwUxoe2J	audio_features	spotify:track:5C1Szw7qVcmwxqiwUxoe2J	0.262	yes
52	0.151	https://api.spotify.com/v1/audio-analysis/1BH5f9RHwlcLR6h3fG9z4M	0.334	275318	0.652	1BH5f9RHwlcLR6h3fG9z4M	0.00442	6	0.0906	-6.268	0	0.0359	104.59	3	https://api.spotify.com/v1/tracks/1BH5f9RHwlcLR6h3fG9z4M	audio_features	spotify:track:1BH5f9RHwlcLR6h3fG9z4M	0.26	yes
53	0.00345	https://api.spotify.com/v1/audio-analysis/202QyrB6Q3Kimsr7KqJut3	0.472	318423	0.875	202QyrB6Q3Kimsr7KqJut3	0.00576	4	0.128	-5.024	0	0.0446	136.064	4	https://api.spotify.com/v1/tracks/202QyrB6Q3Kimsr7KqJut3	audio_features	spotify:track:202QyrB6Q3Kimsr7KqJut3	0.461	yes
54	0.221	https://api.spotify.com/v1/audio-analysis/3n9lAghc1vLXRrJX2nCIqy	0.708	183667	0.49	3n9lAghc1vLXRrJX2nCIqy	3.35e-06	2	0.0849	-7.36	1	0.0457	109.946	4	https://api.spotify.com/v1/tracks/3n9lAghc1vLXRrJX2nCIqy	audio_features	spotify:track:3n9lAghc1vLXRrJX2nCIqy	0.608	yes
55	0.11	https://api.spotify.com/v1/audio-analysis/7oE7e514Eq9KNs1LIKPKB3	0.709	228347	0.503	7oE7e514Eq9KNs1LIKPKB3	0.025	2	0.119	-8.433	1	0.0631	124.476	4	https://api.spotify.com/v1/tracks/7oE7e514Eq9KNs1LIKPKB3	audio_features	spotify:track:7oE7e514Eq9KNs1LIKPKB3	0.487	yes
56	0.000339	https://api.spotify.com/v1/audio-analysis/63TY5lFJuofXrWXuXsPrNr	0.541	121893	0.909	63TY5lFJuofXrWXuXsPrNr	0.0271	2	0.234	-2.877	1	0.0273	100.72	4	https://api.spotify.com/v1/tracks/63TY5lFJuofXrWXuXsPrNr	audio_features	spotify:track:63TY5lFJuofXrWXuXsPrNr	0.872	yes
57	0.00907	https://api.spotify.com/v1/audio-analysis/3iDK8BAaBUatPR84gdfa9g	0.653	266347	0.818	3iDK8BAaBUatPR84gdfa9g	0.23	5	0.0703	-8.125	1	0.047	174.984	4	https://api.spotify.com/v1/tracks/3iDK8BAaBUatPR84gdfa9g	audio_features	spotify:track:3iDK8BAaBUatPR84gdfa9g	0.198	yes
58	0.507	https://api.spotify.com/v1/audio-analysis/1D7PmWoTDJuDBIEjb225lv	0.664	313160	0.774	1D7PmWoTDJuDBIEjb225lv	0.0	2	0.149	-6.321	1	0.0497	99.967	4	https://api.spotify.com/v1/tracks/1D7PmWoTDJuDBIEjb225lv	audio_features	spotify:track:1D7PmWoTDJuDBIEjb225lv	0.33	yes
59	0.198	https://api.spotify.com/v1/audio-analysis/2YifXwOXACreS5o7FrQKgN	0.705	184440	0.491	2YifXwOXACreS5o7FrQKgN	4.01e-06	2	0.0807	-7.379	1	0.0495	109.95	4	https://api.spotify.com/v1/tracks/2YifXwOXACreS5o7FrQKgN	audio_features	spotify:track:2YifXwOXACreS5o7FrQKgN	0.619	yes
60	0.000269	https://api.spotify.com/v1/audio-analysis/7630alXL5HfQAHQhBam5pJ	0.389	220918	0.697	7630alXL5HfQAHQhBam5pJ	0.207	8	0.135	-7.215	0	0.0315	90.853	4	https://api.spotify.com/v1/tracks/7630alXL5HfQAHQhBam5pJ	audio_features	spotify:track:7630alXL5HfQAHQhBam5pJ	0.413	yes
